,me,top_managers,league,me_vs_top
GKP,6.0,5.1,5.02,0.9
DEF,16.0,17.6,18.07,-1.6
MID,25.5,36.3,33.02,-10.8
FWD,31.0,21.1,24.09,9.9
XI_spend,78.5,80.1,80.2,-1.6
bench,21.0,19.9,18.98,1.1
