,me,top_managers,league,me_vs_top
GKP,6.0,5.1,5.23,0.9
DEF,18.0,15.6,19.45,2.4
MID,24.5,34.2,31.91,-9.7
FWD,31.0,27.1,24.14,3.9
XI_spend,79.5,82.0,80.73,-2.5
bench,19.5,17.9,18.84,1.6
