element,name,pos,club,owners,mult,gw_points,price,played,own_pct,eo_pct
1,Raya,GKP,ARS,9,9,6,6.0,True,40.90909090909091,40.90909090909091
496,Kinsky,GKP,TOT,8,6,2,4.5,True,36.36363636363637,27.272727272727273
8,Calafiori,DEF,ARS,13,13,9,5.5,True,59.09090909090909,59.09090909090909
4,Gabriel,DEF,ARS,9,9,5,8.0,True,40.90909090909091,40.90909090909091
423,Shaw,DEF,MUN,9,7,1,4.5,True,40.90909090909091,31.818181818181817
259,Diop,DEF,IPS,7,2,2,4.0,True,31.818181818181817,9.090909090909092
418,Maguire,DEF,MUN,7,6,1,5.0,True,31.818181818181817,27.272727272727273
426,B.Fernandes,MID,MUN,14,19,2,12.0,True,63.63636363636363,86.36363636363636
124,Groß,MID,BHA,11,7,2,5.5,True,50.0,31.818181818181817
427,Mbeumo,MID,MUN,9,9,2,8.0,True,40.90909090909091,40.90909090909091
557,Tzolis,MID,ARS,9,9,6,6.5,True,40.90909090909091,40.90909090909091
366,Wirtz,MID,LIV,7,7,2,7.5,True,31.818181818181817,31.818181818181817
411,Haaland,FWD,MCI,17,31,2,15.5,True,77.27272727272727,140.9090909090909
165,João Pedro,FWD,CHE,16,15,0,7.5,False,72.72727272727273,68.18181818181819
346,Calvert-Lewin,FWD,LEE,11,8,1,6.0,True,50.0,36.36363636363637
