,me,top_managers,league,me_vs_top
GKP,6.0,5.1,5.11,0.9
DEF,18.0,15.7,19.07,2.3
MID,24.5,34.2,31.61,-9.7
FWD,31.0,27.1,24.8,3.9
XI_spend,79.5,82.1,80.59,-2.6
bench,19.5,17.9,18.8,1.6
