element,name,pos,club,owners,mult,gw_points,price,played,own_pct,eo_pct
496,Kinsky,GKP,TOT,9,5,1,4.5,True,40.90909090909091,22.727272727272727
1,Raya,GKP,ARS,8,7,0,6.0,False,36.36363636363637,31.818181818181817
8,Calafiori,DEF,ARS,14,14,0,5.5,False,63.63636363636363,63.63636363636363
4,Gabriel,DEF,ARS,10,10,0,8.0,False,45.45454545454545,45.45454545454545
423,Shaw,DEF,MUN,9,8,2,4.5,True,40.90909090909091,36.36363636363637
259,Diop,DEF,IPS,7,0,2,4.0,True,31.818181818181817,0.0
418,Maguire,DEF,MUN,6,6,4,5.0,True,27.272727272727273,27.272727272727273
426,B.Fernandes,MID,MUN,14,22,23,12.0,True,63.63636363636363,100.0
124,Groß,MID,BHA,11,3,13,5.5,True,50.0,13.636363636363637
557,Tzolis,MID,ARS,11,11,0,6.5,False,50.0,50.0
427,Mbeumo,MID,MUN,9,9,11,8.0,True,40.90909090909091,40.90909090909091
368,Szoboszlai,MID,LIV,8,9,4,7.0,True,36.36363636363637,40.90909090909091
165,João Pedro,FWD,CHE,18,18,9,7.5,True,81.81818181818181,81.81818181818181
411,Haaland,FWD,MCI,17,28,13,15.5,True,77.27272727272727,127.27272727272727
346,Calvert-Lewin,FWD,LEE,11,8,8,6.0,True,50.0,36.36363636363637
