name,pos,club,in,out,net
João Pedro,FWD,CHE,2,0,2
Tzolis,MID,ARS,2,0,2
Gvardiol,DEF,MCI,1,0,1
M.Sangaré,MID,BRE,1,0,1
Szoboszlai,MID,LIV,1,0,1
Kinsky,GKP,TOT,1,0,1
Mitchell,DEF,CRY,1,0,1
Kayode,DEF,BRE,1,0,1
N.Williams,DEF,NFO,1,0,1
Hall,DEF,NEW,1,0,1
Trafford,GKP,LEE,1,0,1
Mendy,DEF,HUL,1,0,1
Gabriel,DEF,ARS,1,0,1
Evanilson,FWD,BOU,1,0,1
De Cuyper,DEF,BHA,1,0,1
Cherki,MID,MCI,1,0,1
Calafiori,DEF,ARS,1,0,1
Stach,MID,LEE,1,1,0
Senesi,DEF,TOT,0,1,-1
Brobbey,FWD,SUN,0,1,-1
Sánchez,GKP,CHE,0,1,-1
Rogers,MID,CHE,0,1,-1
Virgil,DEF,LIV,0,1,-1
Watkins,FWD,AVL,0,1,-1
Semenyo,MID,MCI,0,1,-1
Maguire,DEF,MUN,0,1,-1
Raya,GKP,ARS,0,1,-1
O'Brien,DEF,EVE,0,1,-1
Ndoye,MID,NFO,0,1,-1
Kerkez,DEF,LIV,0,1,-1
Greaves,DEF,IPS,0,1,-1
Gibbs-White,MID,NFO,0,1,-1
David,FWD,BHA,0,1,-1
Colwill,DEF,CHE,0,1,-1
Wirtz,MID,LIV,0,1,-1
Konsa,DEF,ARS,0,2,-2
