variant,status,squad_overlap_with_primary,changed,captain,spend,objective
no_new_player_rule,Optimal,15,0,Haaland,100.0,54.57
fpl_own_ep_next,Optimal,3,12,B.Fernandes,100.0,39.08
ignore_fixtures,Optimal,14,1,Haaland,100.0,54.19
bench_weight_zero,Optimal,10,5,Haaland,100.0,53.48
