position,n_rate,n_total,pp90_to_future_rate,xgi90_to_future_rate,minutes_to_future_points,points_to_future_points
GKP,21,25,-0.10522897599486017,0.16830199701667697,0.4827608186224346,0.3680865073615822
DEF,95,110,0.2203107502799552,0.18694008958566632,0.4906373584594774,0.44219471574108526
MID,112,142,0.3437674845740027,0.44842078288576087,0.45940491305845615,0.5137189272197238
FWD,28,32,0.17296113847837985,0.4657909140667761,0.5903880882925892,0.5396768539785833
